ClassID,MethodID,ClassName,MethodName,MethodDesc,Access,SourceFileName,MethodHash
0,0,Main,<init>,()V,1,Main.java,204b3c4dea2bb90b4b56dff35c6c2a032351043c
0,1,Main,main,([Ljava/lang/String;)V,9,Main.java,f037e31ab36de6812d7a261ae3eb63978f2625c3
1,2,customClass/myString,<init>,(Ljava/lang/String;)V,1,myString.java,dcf053b0547a4874533c4a10d986c6434ee952be
1,3,customClass/myString,length,()I,1,myString.java,7b098a8f04e5bd780f512ad3c11c3590aa0c1944
1,4,customClass/myString,substring,(II)Ljava/lang/String;,1,myString.java,197e16cd46eae8930c2cf179d19fadd344b3a069
1,5,customClass/myString,replace,(CC)Ljava/lang/String;,1,myString.java,1618ce361c7b536b32d5a1b3bcd5282a84eaa5c4
1,6,customClass/myString,toUpperCase,()Ljava/lang/String;,1,myString.java,2458c28bd5d8d87320c1a1427f81056ff094af0b
1,7,customClass/myString,toLowerCase,()Ljava/lang/String;,1,myString.java,0be7e503271198d9c0b8f03d82f3cba4be1db916
1,8,customClass/myString,isPalindrome,()Z,1,myString.java,13dfb85d883cb76a8383c506adc938c74f12acae
1,9,customClass/myString,print,()V,1,myString.java,cafef9f885d05a61b256e53676048eade2da3ff7
1,10,customClass/myString,printWithString,(Ljava/lang/String;)V,1,myString.java,0df6e7bc32691250bd065ddce58c35c5f4ce7d23
